"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"CI2005AIS.1","Cote d'Ivoire","CI2005AIS","Males",2003-04-01,"0-4",0.264143567550445,0.202382472972791,0.32112237904858
"CI2005AIS.2","Cote d'Ivoire","CI2005AIS","Females",2003-04-01,"0-4",0.227660708845618,0.176036620119418,0.276050374050233
"CI2012DHS.1","Cote d'Ivoire","CI2012DHS","Males",2009-10-30,"0-4",0.184522797100458,0.15724077011125,0.210921643021761
"CI2012DHS.2","Cote d'Ivoire","CI2012DHS","Females",2009-10-30,"0-4",0.207930381899358,0.181363572190371,0.233635031858133
"CI2021DHS.1","Cote d'Ivoire","CI2021DHS","Males",2019-06-01,"0-4",0.136678515975953,0.114047409362199,0.158731525079778
"CI2021DHS.2","Cote d'Ivoire","CI2021DHS","Females",2019-06-01,"0-4",0.133873699248607,0.110989689761102,0.156168651574241
"CM1998DHS.1","Cameroon","CM1998DHS","Males",1995-11-30,"0-4",0.203806338529334,0.171933585851135,0.234452290620131
"CM1998DHS.2","Cameroon","CM1998DHS","Females",1995-11-30,"0-4",0.148504275506555,0.121360593852468,0.174809411280975
"CM2004DHS.1","Cameroon","CM2004DHS","Males",2002-01-30,"0-4",0.245085109197929,0.220809438440153,0.268604471781796
"CM2004DHS.2","Cameroon","CM2004DHS","Females",2002-01-30,"0-4",0.225690157350563,0.204346965500321,0.246460823465838
"CM2011DHS.1","Cameroon","CM2011DHS","Males",2009-01-29,"0-4",0.226619626030316,0.207817956727552,0.244975056022844
"CM2011DHS.2","Cameroon","CM2011DHS","Females",2009-01-29,"0-4",0.21631259368437,0.199064683731927,0.233189074893836
"CM2018DHS.1","Cameroon","CM2018DHS","Males",2016-05-31,"0-4",0.183179981241705,0.161490000783296,0.204308900707728
"CM2018DHS.2","Cameroon","CM2018DHS","Females",2016-05-31,"0-4",0.152780305920279,0.135119281334187,0.170080689110744
"CO2015DHS.1","Colombia","CO2015DHS","Males",2013-08-30,"0-4",0.10271841324356,0.0881543104479303,0.117049896537149
"CO2015DHS.2","Colombia","CO2015DHS","Females",2013-08-30,"0-4",0.0498913206638746,0.0323003277130909,0.0671625418488343
"DR2002DHS.1","Dominican Republic","DR2002DHS","Males",2000-05-31,"0-4",0.135760522134685,0.116717150263692,0.154393323357414
"DR2002DHS.2","Dominican Republic","DR2002DHS","Females",2000-05-31,"0-4",0.0678487994381638,0.0563881386891067,0.0791702644541123
"DR2007DHS.1","Dominican Republic","DR2007DHS","Males",2005-01-29,"0-4",0.123560202695169,0.110500142534685,0.136428508837972
"DR2007DHS.2","Dominican Republic","DR2007DHS","Females",2005-01-29,"0-4",0.0663571032871101,0.0572621040673419,0.0753643591254312
"ET2000DHS.1","Ethiopia","ET2000DHS","Males",1997-10-30,"0-4",0.27232312653889,0.241743374134155,0.301669627264398
"ET2000DHS.2","Ethiopia","ET2000DHS","Females",1997-10-30,"0-4",0.217395381292718,0.192871495857765,0.241174130167953
"ET2005DHS.1","Ethiopia","ET2005DHS","Males",2003-01-30,"0-4",0.192789014773066,0.171265135870107,0.213753876090207
"ET2005DHS.2","Ethiopia","ET2005DHS","Females",2003-01-30,"0-4",0.199887505948877,0.174884343803648,0.224133006895259
"ET2011DHS.1","Ethiopia","ET2011DHS","Males",2008-10-29,"0-4",0.163878392275581,0.142775337169067,0.184461934873719
"ET2011DHS.2","Ethiopia","ET2011DHS","Females",2008-10-29,"0-4",0.129392219341254,0.106483646891878,0.151713446422141
"ET2016DHS.1","Ethiopia","ET2016DHS","Males",2013-11-30,"0-4",0.11324285842192,0.0960200197653034,0.130137563515982
"ET2016DHS.2","Ethiopia","ET2016DHS","Females",2013-11-30,"0-4",0.0846297216198304,0.0673010917665672,0.101636402546231
"GA2000DHS.1","Gabon","GA2000DHS","Males",1998-07-02,"0-4",0.213462334549875,0.173145086332766,0.251813723367793
"GA2000DHS.2","Gabon","GA2000DHS","Females",1998-07-02,"0-4",0.184512373878107,0.147686217403757,0.219747372461589
"GA2012DHS.1","Gabon","GA2012DHS","Males",2009-10-30,"0-4",0.168428327388638,0.134496801125731,0.201029588811359
"GA2012DHS.2","Gabon","GA2012DHS","Females",2009-10-30,"0-4",0.138508315127358,0.112142141100493,0.164091508944218
"GA2019DHS.1","Gabon","GA2019DHS","Males",2019-04-01,"0-4",0.122582471576288,0.0950124362303764,0.149312598309744
"GA2019DHS.2","Gabon","GA2019DHS","Females",2019-04-01,"0-4",0.151754489034494,0.11619994515652,0.18587870307322
"GM2013DHS.1","Gambia","GM2013DHS","Males",2010-09-30,"0-4",0.0908501086435813,0.0709414154616421,0.110332180651346
"GM2013DHS.2","Gambia","GM2013DHS","Females",2010-09-30,"0-4",0.0931535127825237,0.0704006897412823,0.115349438942891
"GM2019DHS.1","Gambia","GM2019DHS","Males",2017-08-30,"0-4",0.125508157864743,0.10647014295305,0.144140538864016
"GM2019DHS.2","Gambia","GM2019DHS","Females",2017-08-30,"0-4",0.0991765057060821,0.0769926219933179,0.120827214161196
"GN1999DHS.1","Guinea","GN1999DHS","Males",1996-12-29,"0-4",0.171867917565926,0.14481166118351,0.19806817419226
"GN1999DHS.2","Guinea","GN1999DHS","Females",1996-12-29,"0-4",0.140910852421868,0.116030863016966,0.165090575440886
"GN2005DHS.1","Guinea","GN2005DHS","Males",2002-11-30,"0-4",0.197096192438405,0.167924004634277,0.225245617242496
"GN2005DHS.2","Guinea","GN2005DHS","Females",2002-11-30,"0-4",0.196742018591102,0.170604323325666,0.22205600674906
"GN2012DHS.1","Guinea","GN2012DHS","Males",2010-04-01,"0-4",0.175944894452845,0.151484616515988,0.199700052354881
"GN2012DHS.2","Guinea","GN2012DHS","Females",2010-04-01,"0-4",0.165089882254803,0.140884003142161,0.188613752668086
"GU1995DHS.1","Guatemala","GU1995DHS","Males",1993-05-31,"0-4",0.117307257420896,0.0980169695236547,0.136184992981135
"GU1995DHS.2","Guatemala","GU1995DHS","Females",1993-05-31,"0-4",0.0636953422603841,0.0488640396313275,0.0782953766514177
"GU2015DHS.1","Guatemala","GU2015DHS","Males",2012-11-29,"0-4",0.108109540566268,0.0972426494815904,0.118845622057672
"GU2015DHS.2","Guatemala","GU2015DHS","Females",2012-11-29,"0-4",0.0495861449892741,0.0423982329704026,0.0567201033909218
"HT2000DHS.1","Haiti","HT2000DHS","Males",1997-12-30,"0-4",0.202620222593738,0.15031135165734,0.251708833986858
"HT2000DHS.2","Haiti","HT2000DHS","Females",1997-12-30,"0-4",0.214631430402868,0.196449269474847,0.232402178630416
"HT2006DHS.1","Haiti","HT2006DHS","Males",2003-11-30,"0-4",0.166593156338655,0.142841219975223,0.189686924700825
"HT2006DHS.2","Haiti","HT2006DHS","Females",2003-11-30,"0-4",0.180488200891254,0.15513308132995,0.205082393407408
"HT2016DHS.1","Haiti","HT2016DHS","Males",2014-09-30,"0-4",0.16263233690402,0.141052601474847,0.183669914592228
"HT2016DHS.2","Haiti","HT2016DHS","Females",2014-09-30,"0-4",0.134280862466678,0.115519213806469,0.152644538139861
"ID1994DHS.1","Indonesia","ID1994DHS","Males",1992-05-01,"0-4",0.10406902625514,0.0888412637237046,0.119042294435063
"ID1994DHS.2","Indonesia","ID1994DHS","Females",1992-05-01,"0-4",0.0840070491801166,0.0710324228652364,0.0968004625741649
"ID1997DHS.1","Indonesia","ID1997DHS","Males",1995-06-01,"0-4",0.0791000940285539,0.0677946527456222,0.0902684271056826
"ID1997DHS.2","Indonesia","ID1997DHS","Females",1995-06-01,"0-4",0.0679451712214383,0.0566464147394287,0.0791085999747633
"ID2003DHS.1","Indonesia","ID2003DHS","Males",2000-09-29,"0-4",0.0824566608027695,0.0689133208896607,0.0958030028851528
"ID2003DHS.2","Indonesia","ID2003DHS","Females",2000-09-29,"0-4",0.0676706856876652,0.0568529918800962,0.0783643028684657
"ID2007DHS.1","Indonesia","ID2007DHS","Males",2005-08-01,"0-4",0.0940309586888141,0.0826666683763017,0.105254463651165
"ID2007DHS.2","Indonesia","ID2007DHS","Females",2005-08-01,"0-4",0.0703610710169187,0.0599853387187798,0.0806222776324731
"ID2012DHS.1","Indonesia","ID2012DHS","Males",2009-12-30,"0-4",0.108024447155085,0.0973316038511634,0.118590625009757
"ID2012DHS.2","Indonesia","ID2012DHS","Females",2009-12-30,"0-4",0.0877079076765466,0.0785740455447816,0.096751228146186
"JO1997DHS.1","Jordan","JO1997DHS","Males",1995-04-01,"0-4",0.057198389550277,0.0435730445350944,0.0706296266665533
"JO1997DHS.2","Jordan","JO1997DHS","Females",1995-04-01,"0-4",0.0338501521521042,0.0233163015745568,0.044270391733411
"KE1998DHS.1","Kenya","KE1998DHS","Males",1995-12-30,"0-4",0.199430831782619,0.173947246707065,0.224128252650482
"KE1998DHS.2","Kenya","KE1998DHS","Females",1995-12-30,"0-4",0.184460293887101,0.159943556804937,0.208261519050959
"KE2003DHS.1","Kenya","KE2003DHS","Males",2001-03-01,"0-4",0.253497815883819,0.225252050479889,0.280713797002746
"KE2003DHS.2","Kenya","KE2003DHS","Females",2001-03-01,"0-4",0.242662716269976,0.214649767206908,0.269676461051383
"KE2008DHS.1","Kenya","KE2008DHS","Males",2006-08-02,"0-4",0.227670730883579,0.191875593009208,0.261880355581562
"KE2008DHS.2","Kenya","KE2008DHS","Females",2006-08-02,"0-4",0.191060998674646,0.160983551612876,0.220060215597432
"KE2014DHS.1","Kenya","KE2014DHS","Males",2012-03-31,"0-4",0.177816598750973,0.157471316220888,0.197670585816348
"KE2014DHS.2","Kenya","KE2014DHS","Females",2012-03-31,"0-4",0.129102378601199,0.112886247219152,0.145022084732059
"KH2000DHS.1","Cambodia","KH2000DHS","Males",1997-12-30,"0-4",0.156630897511864,0.138635389829187,0.17425044559168
"KH2000DHS.2","Cambodia","KH2000DHS","Females",1997-12-30,"0-4",0.124018340754389,0.108462251295243,0.139302998162999
"KH2005DHS.1","Cambodia","KH2005DHS","Males",2003-08-30,"0-4",0.176688793933491,0.159124534909473,0.193886169622377
"KH2005DHS.2","Cambodia","KH2005DHS","Females",2003-08-30,"0-4",0.106701913665575,0.0929614293248203,0.120234247089685
"KH2010DHS.1","Cambodia","KH2010DHS","Males",2008-07-01,"0-4",0.131952801270267,0.116148745905242,0.14747426591109
"KH2010DHS.2","Cambodia","KH2010DHS","Females",2008-07-01,"0-4",0.0913500662442579,0.0769812050170711,0.105495243864904
"KH2014DHS.1","Cambodia","KH2014DHS","Males",2012-05-31,"0-4",0.11693878396099,0.101891703796352,0.131733762433173
"KH2014DHS.2","Cambodia","KH2014DHS","Females",2012-05-31,"0-4",0.069041274635307,0.0581390456644623,0.079817308124764
"KH2021DHS.1","Cambodia","KH2021DHS","Males",2019-08-02,"0-4",0.0998085323752442,0.0865101050411121,0.112913363512487
"KH2021DHS.2","Cambodia","KH2021DHS","Females",2019-08-02,"0-4",0.0457074983319291,0.0369802954049087,0.0543556124609053
"KM2012DHS.1","Comoros","KM2012DHS","Males",2010-06-01,"0-4",0.0642328448266221,0.0395698455443302,0.088262520039718
"KM2012DHS.2","Comoros","KM2012DHS","Females",2010-06-01,"0-4",0.0704520888529636,0.0485486405475133,0.09185129588228
"LB2007DHS.1","Liberia","LB2007DHS","Males",2004-09-29,"0-4",0.189515629268734,0.152364502890653,0.225038454099903
"LB2007DHS.2","Liberia","LB2007DHS","Females",2004-09-29,"0-4",0.172168001240176,0.143459263011871,0.199914506599604
"LB2013DHS.1","Liberia","LB2013DHS","Males",2010-12-30,"0-4",0.134357459089621,0.110044956582324,0.158005773239833
"LB2013DHS.2","Liberia","LB2013DHS","Females",2010-12-30,"0-4",0.178399805834246,0.144323746266487,0.211118835999122
"LB2019DHS.1","Liberia","LB2019DHS","Males",2017-08-01,"0-4",0.194193202322802,0.157621722284875,0.229176947743696
"LB2019DHS.2","Liberia","LB2019DHS","Females",2017-08-01,"0-4",0.155470705587412,0.131559507306638,0.178723545111272
"LS2004DHS.1","Lesotho","LS2004DHS","Males",2002-07-02,"0-4",0.504245097215189,0.46988924673661,0.536374385687923
"LS2004DHS.2","Lesotho","LS2004DHS","Females",2002-07-02,"0-4",0.446537513133176,0.41291209001193,0.478237042259934
"LS2009DHS.1","Lesotho","LS2009DHS","Males",2007-07-02,"0-4",0.54166069144612,0.50780244019367,0.573189834894124
"LS2009DHS.2","Lesotho","LS2009DHS","Females",2007-07-02,"0-4",0.459299661798785,0.423946759586992,0.49248292480518
"LS2014DHS.1","Lesotho","LS2014DHS","Males",2012-05-31,"0-4",0.477551933936393,0.427210852582148,0.523468656897434
"LS2014DHS.2","Lesotho","LS2014DHS","Females",2012-05-31,"0-4",0.443568606813627,0.40395129324152,0.480552693408015
"MA1992DHS.1","Morocco","MA1992DHS","Males",1989-09-30,"0-4",0.0727779843253549,0.0574540047325887,0.087852825571835
"MA1992DHS.2","Morocco","MA1992DHS","Females",1989-09-30,"0-4",0.0610727176223052,0.0482606182516264,0.0737123434215082
"MA2003DHS.1","Morocco","MA2003DHS","Males",2001-08-01,"0-4",0.0527136870859419,0.0446420817446408,0.0607170972393027
"MA2003DHS.2","Morocco","MA2003DHS","Females",2001-08-01,"0-4",0.0396933835699248,0.0328646554838895,0.0464738955220576
"MD1997DHS.1","Madagascar","MD1997DHS","Males",1995-06-01,"0-4",0.204035158987927,0.173230587483308,0.23369198408198
"MD1997DHS.2","Madagascar","MD1997DHS","Females",1995-06-01,"0-4",0.151340472095633,0.127765520712187,0.174278234344817
"MD2004DHS.1","Madagascar","MD2004DHS","Males",2001-08-30,"0-4",0.156165863320054,0.128090844717889,0.183336881012564
"MD2004DHS.2","Madagascar","MD2004DHS","Females",2001-08-30,"0-4",0.116271976708643,0.0930109615207604,0.138936430301385
"MD2008DHS.1","Madagascar","MD2008DHS","Males",2007-01-30,"0-4",0.150068148821083,0.135476975921681,0.164413056068039
"MD2008DHS.2","Madagascar","MD2008DHS","Females",2007-01-30,"0-4",0.142881850506826,0.126510799137576,0.158946073442857
"ML1996DHS.1","Mali","ML1996DHS","Males",1993-10-30,"0-4",0.146017061823469,0.124330895850959,0.167166164432251
"ML1996DHS.2","Mali","ML1996DHS","Females",1993-10-30,"0-4",0.127883476996835,0.108874927523921,0.146486555942406
"ML2001DHS.1","Mali","ML2001DHS","Males",1998-10-30,"0-4",0.175729606791619,0.154171614483317,0.196738141266248
"ML2001DHS.2","Mali","ML2001DHS","Females",1998-10-30,"0-4",0.177147260280987,0.15251594179343,0.201062692912567
"ML2006DHS.1","Mali","ML2006DHS","Males",2004-05-31,"0-4",0.169739528650791,0.146925956188646,0.191943002737231
"ML2006DHS.2","Mali","ML2006DHS","Females",2004-05-31,"0-4",0.141477100909764,0.12029981737871,0.162144577410406
"ML2012DHS.1","Mali","ML2012DHS","Males",2010-08-02,"0-4",0.102867852060405,0.0840102852007977,0.12133719640821
"ML2012DHS.2","Mali","ML2012DHS","Females",2010-08-02,"0-4",0.0980548908673188,0.075347368702018,0.120204764089185
"ML2018DHS.1","Mali","ML2018DHS","Males",2016-05-01,"0-4",0.134267914650294,0.114887963655505,0.153223532357162
"ML2018DHS.2","Mali","ML2018DHS","Females",2016-05-01,"0-4",0.128748489202278,0.106676878851333,0.150274769457145
"MM2016DHS.1","Myanmar","MM2016DHS","Males",2013-12-30,"0-4",0.153120541029244,0.134819774059561,0.171034200132107
"MM2016DHS.2","Myanmar","MM2016DHS","Females",2013-12-30,"0-4",0.0592278917879595,0.0485003118872547,0.0698345247540896
"MR2020DHS.1","Mauritania","MR2020DHS","Males",2018-09-30,"0-4",0.0982407317726578,0.082033042254398,0.114162257178687
"MR2020DHS.2","Mauritania","MR2020DHS","Females",2018-09-30,"0-4",0.0915752837070213,0.0743976986139525,0.108434082395618
"MW1992DHS.1","Malawi","MW1992DHS","Males",1990-05-02,"0-4",0.234650230035116,0.189532483175685,0.277256326471285
"MW1992DHS.2","Malawi","MW1992DHS","Females",1990-05-02,"0-4",0.231802981884316,0.192102612239315,0.269552461015462
"MW2000DHS.1","Malawi","MW2000DHS","Males",1998-05-02,"0-4",0.415000761898813,0.390196552691724,0.438796041430111
"MW2000DHS.2","Malawi","MW2000DHS","Females",1998-05-02,"0-4",0.397788008559774,0.370534872223932,0.423861201150735
"MW2004DHS.1","Malawi","MW2004DHS","Males",2002-07-02,"0-4",0.386698443835912,0.353781280249645,0.417938869151608
"MW2004DHS.2","Malawi","MW2004DHS","Females",2002-07-02,"0-4",0.396500378978428,0.368205071846836,0.423528464152397
"MW2010DHS.1","Malawi","MW2010DHS","Males",2008-05-01,"0-4",0.324745984478001,0.299194041851797,0.349366282953094
"MW2010DHS.2","Malawi","MW2010DHS","Females",2008-05-01,"0-4",0.281152356784721,0.260559276812186,0.301171929064946
"MW2015DHS.1","Malawi","MW2015DHS","Males",2013-08-01,"0-4",0.207393165962012,0.186891244511762,0.227378146990313
"MW2015DHS.2","Malawi","MW2015DHS","Females",2013-08-01,"0-4",0.159351120667772,0.142143813286204,0.176213275293075
"MZ1997DHS.1","Mozambique","MZ1997DHS","Males",1994-12-30,"0-4",0.178924218323932,0.136361287576926,0.21938950911141
"MZ1997DHS.2","Mozambique","MZ1997DHS","Females",1994-12-30,"0-4",0.132563357837972,0.100046006183857,0.163905784811646
"MZ2003DHS.1","Mozambique","MZ2003DHS","Males",2001-07-01,"0-4",0.256665616750103,0.230814403081995,0.281648008574964
"MZ2003DHS.2","Mozambique","MZ2003DHS","Females",2001-07-01,"0-4",0.235620801826787,0.204001211472437,0.265984362010505
"MZ2011DHS.1","Mozambique","MZ2011DHS","Males",2009-05-01,"0-4",0.248500919533347,0.222116307131634,0.273990606667991
"MZ2011DHS.2","Mozambique","MZ2011DHS","Females",2009-05-01,"0-4",0.203869039002618,0.181536964521208,0.225591774358101
"NG2008DHS.1","Nigeria","NG2008DHS","Males",2006-04-01,"0-4",0.166077041618932,0.152982429208869,0.178969215638008
"NG2008DHS.2","Nigeria","NG2008DHS","Females",2006-04-01,"0-4",0.159386586926199,0.147174069006762,0.171424220864612
"NG2013DHS.1","Nigeria","NG2013DHS","Males",2010-11-30,"0-4",0.116755924536597,0.106908138010026,0.126495123241913
"NG2013DHS.2","Nigeria","NG2013DHS","Females",2010-11-30,"0-4",0.117964927116524,0.107516327793495,0.128291201257352
"NG2018DHS.1","Nigeria","NG2018DHS","Males",2016-05-31,"0-4",0.113707386907631,0.103648771793334,0.123653126918026
"NG2018DHS.2","Nigeria","NG2018DHS","Females",2016-05-31,"0-4",0.113548846916377,0.104642336469999,0.122366760446055
"NI1992DHS.1","Niger","NI1992DHS","Males",1989-11-30,"0-4",0.143654369225599,0.11519701853539,0.171196464400998
"NI1992DHS.2","Niger","NI1992DHS","Females",1989-11-30,"0-4",0.157600084201946,0.124178741779879,0.189746068074755
"NI2006DHS.1","Niger","NI2006DHS","Males",2003-10-30,"0-4",0.119498209135803,0.101203391840381,0.137420639245031
"NI2006DHS.2","Niger","NI2006DHS","Females",2003-10-30,"0-4",0.13944826813656,0.120741648128604,0.15775689632405
"NI2012DHS.1","Niger","NI2012DHS","Males",2009-11-30,"0-4",0.135702532404793,0.115828740788259,0.155129614643361
"NI2012DHS.2","Niger","NI2012DHS","Females",2009-11-30,"0-4",0.130041085329464,0.11235851901668,0.147371400020276
"NM1992DHS.1","Namibia","NM1992DHS","Males",1990-05-02,"0-4",0.222087612335112,0.188649034426236,0.254148070860378
"NM1992DHS.2","Namibia","NM1992DHS","Females",1990-05-02,"0-4",0.127916011983171,0.102164403553261,0.15292901599669
"NM2000DHS.1","Namibia","NM2000DHS","Males",1998-06-01,"0-4",0.291891964829303,0.251864947808895,0.32977744057737
"NM2000DHS.2","Namibia","NM2000DHS","Females",1998-06-01,"0-4",0.193883641045225,0.15882219182878,0.22748368078413
"NM2006DHS.1","Namibia","NM2006DHS","Males",2004-08-29,"0-4",0.399509320808224,0.367441382311455,0.429951555930354
"NM2006DHS.2","Namibia","NM2006DHS","Females",2004-08-29,"0-4",0.308299566646477,0.282208440169359,0.333442302366526
"NM2013DHS.1","Namibia","NM2013DHS","Males",2011-03-02,"0-4",0.220721868235647,0.196460499292148,0.244250710623209
"NM2013DHS.2","Namibia","NM2013DHS","Females",2011-03-02,"0-4",0.143585007559283,0.122375012426532,0.1642824102979
"NP1996DHS.1","Nepal","NP1996DHS","Males",1993-11-30,"0-4",0.108648357350742,0.0887585003260616,0.128104074344922
"NP1996DHS.2","Nepal","NP1996DHS","Females",1993-11-30,"0-4",0.117546613323038,0.0975644089716003,0.137086361177068
"NP2006DHS.1","Nepal","NP2006DHS","Males",2004-01-30,"0-4",0.0933783600267987,0.0736483858552217,0.112688113760621
